JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
PEREMPUAN;17;SUKABUMI;0;WIRASWASTA;SMA/Sederajat;SD;300000;600000;YA
PEREMPUAN;19;DKI JAKARTA;8000000;KARYAWAN SWASTA;S2;S2;2000000;1500000;TIDAK
PEREMPUAN;17;ACEH;11000000;WIRASWASTA;SMP;SMP;1000000;1000000;YA
PEREMPUAN;18;TANGERANG;8000000;PNS;DIPLOMA;SMA/Sederajat;1500000;1000000;TIDAK
LAKI-LAKI;19;BANJAR;3500000;BURUH;DIPLOMA;SMA/Sederajat;500000;400000;YA
LAKI-LAKI;19;BOGOR;11000000;KARYAWAN SWASTA;S2;SMA/Sederajat;1500000;1300000;TIDAK
PEREMPUAN;19;KEBUMEN;5000000;PNS;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;18;MEDAN;7000000;WIRASWASTA;S1;S1;1200000;1200000;TIDAK
LAKI-LAKI;18;JAKARTA;7000000;DOSEN;S2;S1;1500000;1450000;YA
PEREMPUAN;18;MAJALENGKA;2400000;WIRASWASTA;SD;SD;600000;600000;YA
PEREMPUAN;18;DEPOK;11000000;KARYAWAN SWASTA;S1;S1;800000;600000;TIDAK
PEREMPUAN;17;KALIMANTAN TIMUR;2400000;WIRASWASTA;SMA/Sederajat;SMP;1000000;1000000;TIDAK
PEREMPUAN;17;JAKARTA;5000000;KARYAWAN SWASTA;DIPLOMA;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;18;WONOGIRI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;YA
LAKI-LAKI;18;KEDIRI;9000000;PNS;S1;S1;1500000;900000;TIDAK
PEREMPUAN;17;BOGOR;5000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;18;BOGOR;8000000;PNS;S3;S1;700000;600000;TIDAK
PEREMPUAN;18;BEKASI;7000000;PNS;S1;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;19;BENGKULU;7000000;PNS;SMA/Sederajat;S1;1500000;1300000;TIDAK
PEREMPUAN;18;KEDIRI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;750000;500000;TIDAK
PEREMPUAN;18;JAKARTA;5000000;WIRASWASTA;DIPLOMA;DIPLOMA;1500000;1400000;TIDAK
PEREMPUAN;18;JAKARTA;5000000;WIRASWASTA;SMP;SMP;1000000;900000;YA
LAKI-LAKI;18;BOGOR;11000000;WIRASWASTA;S1;S1;1000000;500000;YA
LAKI-LAKI;18;BEKASI;9000000;PEGAWAI BUMN;S1;S1;1500000;500000;TIDAK
PEREMPUAN;17;MEDAN;9000000;WIRASWASTA;S2;S1;1000000;800000;TIDAK
PEREMPUAN;18;BEKASI;11000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;2000000;2000000;TIDAK
PEREMPUAN;17;BEKASI;11000000;KARYAWAN SWASTA;S1;DIPLOMA;1500000;1500000;TIDAK
PEREMPUAN;18;BOGOR;5000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1000000;TIDAK
PEREMPUAN;18;BOGOR;7000000;KARYAWAN SWASTA;S2;S1;700000;700000;TIDAK
LAKI-LAKI;18;PADANG;9000000;PEGAWAI BUMN;SMA/Sederajat;SMA/Sederajat;1000000;800000;TIDAK
PEREMPUAN;18;JEMBER;9000000;TNI/POLRI;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;19;BOYOLALI;5000000;WIRASWASTA;SMA/Sederajat;S1;500000;450000;YA
